Firm,value,Variable,Year
Firm 55,-251.697744652797,Net.combined.ratio,2019-02-26
Firm 166,-248.632149320604,Net.combined.ratio,2019-02-26
Firm 28,-124.288370020571,Net.combined.ratio,2016-02-26
Firm 50,-42.8569624911008,Net.combined.ratio,2016-02-26
Firm 146,-32.8631629785265,Net.combined.ratio,2019-02-26
Firm 72,-20.5351664509353,Net.combined.ratio,2017-02-26
Firm 191,-17.2112824807013,Net.combined.ratio,2016-02-26
Firm 251,-9.49084360794683,Net.combined.ratio,2020-02-26
Firm 161,-9.28669106923697,Net.combined.ratio,2019-02-26
Firm 49,-7.04959301342053,Net.combined.ratio,2017-02-26
Firm 51,-5.40442487311391,Net.combined.ratio,2017-02-26
Firm 161,-4.74307153483281,Net.combined.ratio,2017-02-26
Firm 4,-3.40846995746014,Net.combined.ratio,2020-02-26
Firm 166,-2.44439147473835,Net.combined.ratio,2017-02-26
Firm 151,-2.01388544321121,Net.combined.ratio,2018-02-26
Firm 308,-1.60694030716223,Net.combined.ratio,2020-02-26
Firm 146,-1.49245017145232,Net.combined.ratio,2017-02-26
Firm 8,-1.11303196966718,Net.combined.ratio,2018-02-26
